;individual;family;tribe;genus;subgenus;species;trait;value
131;A-1539;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,814
132;A-1539;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;0,926
133;A-1540;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,748
134;A-1540;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;0,971
135;K-0046;Apidae;Meliponini;Melipona;NA;Melipona (Michmelia) sp;intertegularDistance;2,9
136;K-0046;Apidae;Meliponini;Melipona;NA;Melipona (Michmelia) sp;proboscisLength;4,668
137;K-0047;Apidae;Meliponini;Melipona;NA;Melipona (Michmelia) sp;intertegularDistance;3,015
138;K-0047;Apidae;Meliponini;Melipona;NA;Melipona (Michmelia) sp;proboscisLength;4,93
139;K-0059;Apidae;Meliponini;Melipona;NA;Melipona (Michmelia) sp;intertegularDistance;3,044
140;K-0059;Apidae;Meliponini;Melipona;NA;Melipona (Michmelia) sp;proboscisLength;4,801
141;K-0070;Apidae;Meliponini;Trigona;NA;Trigona nigerrima;intertegularDistance;1,639
142;K-0070;Apidae;Meliponini;Trigona;NA;Trigona nigerrima;proboscisLength;2,311
143;K-0071;Apidae;Meliponini;Trigona;NA;Trigona nigerrima;intertegularDistance;1,459
144;K-0071;Apidae;Meliponini;Trigona;NA;Trigona nigerrima;proboscisLength;2,638
145;K-0110;Apidae;Meliponini;Scaura;NA;Scaura longula;intertegularDistance;1,27
146;K-0110;Apidae;Meliponini;Scaura;NA;Scaura longula;proboscisLength;1,392
147;K-0111;Apidae;Meliponini;Scaura;NA;Scaura longula;intertegularDistance;1,276
148;K-0111;Apidae;Meliponini;Scaura;NA;Scaura longula;proboscisLength;1,431
149;K-0115;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;intertegularDistance;0,904
150;K-0115;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;proboscisLength;1,373
151;K-0116;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;intertegularDistance;0,908
152;K-0116;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;proboscisLength;1,521
153;K-0117;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;intertegularDistance;0,983
154;K-0117;Apidae;Meliponini;Tetragonisca;NA;Tetragonisca angustula;proboscisLength;1,484
155;K-0134;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,316
156;K-0134;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,554
157;K-0135;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,335
158;K-0135;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,264
159;K-0136;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,297
160;K-0136;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,461
161;K-0137;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;intertegularDistance;1,337
162;K-0137;Apidae;Meliponini;Tetragona;NA;Tetragona perangulata;proboscisLength;1,548
163;K-0147;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,549
164;K-0147;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;2,976
165;K-0148;Apidae;Meliponini;Trigona;NA;Trigona guianae;intertegularDistance;1,48
166;K-0148;Apidae;Meliponini;Trigona;NA;Trigona guianae;proboscisLength;3,197
167;K-0150;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;intertegularDistance;0,766
168;K-0150;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf buyssoni;proboscisLength;0,969
