Collection date;Plot;Location;Individual;Group;Genus;Species;Morphotype;Trait;Value;Unit;OBS
;OG49;Canopy;A-0431;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;prementumLength;1,108;mm;
;OG49;Canopy;A-0431;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;glossaLength;1,28;mm;
;OG49;Canopy;A-0432;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;weight;0,0146;g;
;OG49;Canopy;A-0432;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;wingLength;7,394;mm;
;OG49;Canopy;A-0432;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;intertegularDistance;1,661;mm;
;OG49;Canopy;A-0432;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;proboscisLength;2,38;mm;
;OG49;Canopy;A-0432;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;prementumLength;1,07;mm;
;OG49;Canopy;A-0432;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;glossaLength;1,31;mm;
;OG49;Understory;A-0436;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,0139;g;
;OG49;Understory;A-0436;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;wingLength;5,499;mm;
;OG49;Understory;A-0436;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;intertegularDistance;1,444;mm;
;OG49;Understory;A-0436;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;proboscisLength;3,735;mm;
;OG49;Understory;A-0436;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;prementumLength;1,251;mm;
;OG49;Understory;A-0436;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;glossaLength;2,484;mm;
;OG49;Understory;A-0437;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,015;g;
;OG49;Understory;A-0437;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;wingLength;5,648;mm;
;OG49;Understory;A-0437;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;intertegularDistance;1,576;mm;
;OG49;Understory;A-0437;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;proboscisLength;3,816;mm;
;OG49;Understory;A-0437;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;prementumLength;1,239;mm;
;OG49;Understory;A-0437;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;glossaLength;2,577;mm;
;OG49;Understory;A-0438;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,0137;g;
;OG49;Understory;A-0438;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;wingLength;5,239;mm;
;OG49;Understory;A-0438;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;intertegularDistance;1,561;mm;
;OG49;Understory;A-0438;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;proboscisLength;3,722;mm;
;OG49;Understory;A-0438;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;prementumLength;1,212;mm;
;OG49;Understory;A-0438;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;glossaLength;2,51;mm;
;OG49;Understory;A-0439;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,0129;g;
;OG49;Understory;A-0439;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;wingLength;5,698;mm;
;OG49;Understory;A-0439;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;intertegularDistance;1,542;mm;
;OG49;Understory;A-0439;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;proboscisLength;3,73;mm;
;OG49;Understory;A-0439;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;prementumLength;1,217;mm;
;OG49;Understory;A-0439;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;glossaLength;2,513;mm;
;OG49;Understory;A-0462;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,0145;g;
;OG49;Understory;A-0462;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;wingLength;5,553;mm;
;OG49;Understory;A-0462;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;intertegularDistance;1,528;mm;
;OG49;Understory;A-0462;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;proboscisLength;3,146;mm;
;OG49;Understory;A-0462;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;prementumLength;1,27;mm;
;OG49;Understory;A-0462;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;glossaLength;1,876;mm;
;OG52;Canopy;A-0544;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,0008;g;
;OG52;Canopy;A-0544;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,339;mm;
;OG52;Canopy;A-0544;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,751;mm;
;OG52;Canopy;A-0544;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,798;mm;
;OG52;Canopy;A-0544;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,399;mm;
;OG52;Canopy;A-0544;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,399;mm;
;OG52;Canopy;A-0545;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,0012;g;
;OG52;Canopy;A-0545;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,642;mm;
;OG52;Canopy;A-0545;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,778;mm;
;OG52;Canopy;A-0545;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,891;mm;
;OG52;Canopy;A-0545;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,414;mm;
;OG52;Canopy;A-0545;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,477;mm;
