individual;Group;species;subgenus;trait;value
J-0068;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;2,87
M-0149;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;5,5
M-0150;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,5
M-0172;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,2
M-0173;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,5
M-0189;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,4
J-0069;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;2,98
M-0206;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,4
M-0234;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,5
M-0235;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,3
M-0236;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,3
M-0237;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,1
M-0238;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,5
M-0239;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,1
M-0240;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,1
M-0241;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,6
J-0339;Apidae: Apinae: Euglossini;Euglossa despecta;Euglossa;intertegularDistance;3,14
J-0780;Apidae: Apinae: Euglossini;Euglossa despecta;Euglossa;intertegularDistance;2,86
J-0141;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;2,96
J-0142;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,13
J-0143;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;2,98
J-0852;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;2,77
J-0853;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,06
J-1429;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;2,88
J-1862;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;2,86
J-1901;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;2,99
J-1902;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;2,52
M-0152;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,5
M-0211;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;2,9
M-0213;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,3
M-0327;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;5,8
M-0328;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;intertegularDistance;5,3
M-0358;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,6
M-0251;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,2
M-0634;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,4
M-0434;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;3,7
M-0449;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,3
M-0450;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,5
M-0451;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,5
M-0491;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;4,7
M-0492;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,1
M-1001;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,3
M-0499;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,1
M-0500;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;3,9
M-0501;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,2
M-1245;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,5
M-C-2134;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,4
M-C-2242;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,3
M-C-2356;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;intertegularDistance;3,3
M-0548;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;intertegularDistance;4,6
M-0152;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;6,7
M-0211;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;6
M-0213;Apidae: Apinae: Euglossini;Euglossa dissimula;Euglossa;proboscisLength;7,3
M-0574;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;5,3
M-0575;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,1
M-0576;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6
